0	600.0	400.0	20	B
1	461.0	209.0	20	B
2	238.0	282.0	20	B
3	238.0	517.0	20	B
4	461.0	590.0	20	B
5	455.0	95.0	5	B
6	535.0	602.0	5	B
7	243.0	529.0	5	B
8	9.0	615.0	5	B
9	381.0	632.0	5	B
10	287.0	556.0	5	B
11	196.0	388.0	5	B
12	322.0	533.0	5	B
13	335.0	387.0	5	B
14	505.0	112.0	5	B
15	173.0	167.0	5	B
16	688.0	413.0	5	B
17	668.0	270.0	5	B
18	454.0	293.0	5	B
19	663.0	44.0	5	B
20	192.0	769.0	5	B
21	50.0	348.0	5	B
22	73.0	548.0	5	B
23	554.0	430.0	5	B
24	482.0	177.0	5	B
25	775.0	461.0	5	B
26	730.0	147.0	5	B
27	637.0	88.0	5	B
28	548.0	7.0	5	B
29	3.0	372.0	5	B
