0.0	236.0	380.0	380.0	235.0	337.0	212.0	379.0	628.0	319.0	349.0	404.0	308.0	265.0	303.0	486.0	88.0	146.0	181.0	361.0	550.0	552.0	547.0	54.0	252.0	185.0	284.0	314.0	396.0	597.0	
236.0	0.0	234.0	380.0	381.0	114.0	399.0	387.0	607.0	430.0	388.0	319.0	352.0	218.0	106.0	291.0	305.0	215.0	84.0	260.0	621.0	433.0	515.0	239.0	38.0	402.0	276.0	213.0	219.0	486.0	
380.0	234.0	0.0	235.0	380.0	286.0	436.0	247.0	404.0	378.0	278.0	114.0	264.0	142.0	316.0	132.0	468.0	430.0	216.0	487.0	489.0	199.0	313.0	348.0	265.0	566.0	510.0	443.0	414.0	251.0	
380.0	380.0	235.0	0.0	234.0	474.0	308.0	13.0	249.0	183.0	62.0	135.0	85.0	162.0	485.0	355.0	461.0	495.0	311.0	635.0	256.0	252.0	167.0	327.0	418.0	539.0	615.0	585.0	596.0	276.0	
235.0	381.0	380.0	234.0	0.0	495.0	74.0	226.0	452.0	90.0	177.0	333.0	150.0	238.0	480.0	511.0	287.0	381.0	297.0	582.0	323.0	476.0	390.0	185.0	413.0	339.0	518.0	531.0	589.0	507.0	
337.0	114.0	286.0	474.0	495.0	0.0	513.0	483.0	685.0	542.0	490.0	391.0	457.0	315.0	52.0	291.0	394.0	275.0	198.0	214.0	723.0	477.0	592.0	349.0	86.0	486.0	279.0	182.0	128.0	530.0	
212.0	399.0	436.0	308.0	74.0	513.0	0.0	300.0	526.0	156.0	252.0	400.0	223.0	293.0	490.0	565.0	243.0	357.0	319.0	572.0	381.0	547.0	465.0	173.0	428.0	278.0	495.0	524.0	595.0	579.0	
379.0	387.0	247.0	13.0	226.0	483.0	300.0	0.0	249.0	172.0	51.0	148.0	79.0	169.0	492.0	368.0	459.0	497.0	316.0	641.0	245.0	264.0	171.0	326.0	425.0	536.0	618.0	591.0	604.0	286.0	
628.0	607.0	404.0	249.0	452.0	685.0	526.0	249.0	0.0	372.0	284.0	294.0	323.0	397.0	706.0	477.0	708.0	743.0	549.0	868.0	239.0	270.0	92.0	575.0	644.0	781.0	859.0	819.0	812.0	243.0	
319.0	430.0	378.0	183.0	90.0	542.0	156.0	172.0	372.0	0.0	120.0	306.0	115.0	249.0	534.0	509.0	377.0	461.0	346.0	652.0	233.0	436.0	319.0	265.0	466.0	429.0	597.0	601.0	646.0	458.0	
