-1	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	
1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	24	1	1	1	1	18	1	1	1	1	1	1	2	1	1	
2	2	-1	2	2	2	2	2	2	2	2	24	9	2	2	2	2	2	2	2	2	2	2	9	2	2	1	2	2	2	
3	3	3	-1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	18	3	3	3	3	3	3	3	3	3	
4	4	4	4	-1	4	3	4	4	4	4	4	4	4	4	4	4	4	7	4	4	4	4	4	4	4	4	4	4	4	
5	5	5	5	5	-1	5	5	5	5	5	5	9	5	5	2	5	5	2	5	5	28	5	5	5	2	5	5	5	5	
6	6	6	6	3	6	-1	6	2	6	6	6	6	6	6	6	6	6	6	6	6	3	6	24	6	6	24	6	6	6	
22	7	7	7	7	7	7	-1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	24	7	
8	8	8	8	8	8	5	8	-1	8	1	8	8	5	8	8	8	8	8	8	8	8	24	8	8	8	8	8	8	8	
9	9	9	9	9	9	9	9	9	-1	9	9	9	9	9	24	9	9	9	9	9	9	9	9	1	9	9	9	9	9	
10	10	10	10	10	10	10	10	0	10	-1	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
11	11	24	11	11	11	11	11	11	11	11	-1	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
12	12	9	12	12	9	12	12	12	12	12	12	-1	9	12	12	12	12	12	12	18	12	12	12	12	12	12	9	12	9	
13	13	13	13	13	13	13	13	5	13	13	13	9	-1	13	13	13	13	13	13	13	13	13	9	13	13	13	13	13	13	
14	14	14	14	14	14	14	14	14	14	14	14	14	14	-1	25	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
15	24	15	15	15	2	15	15	15	1	15	15	15	15	25	-1	1	15	15	15	15	3	15	15	15	15	15	15	15	15	
16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	24	-1	16	16	16	18	16	16	16	1	16	16	16	16	16	
17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	-1	17	17	7	17	17	17	17	17	17	2	17	17	
22	18	18	18	7	2	18	18	18	18	18	18	18	18	18	18	18	18	-1	3	18	18	18	18	25	18	18	18	25	18	
19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	3	-1	24	19	19	16	19	24	19	19	19	19	
20	18	20	18	20	20	20	20	20	20	20	20	18	20	20	20	18	7	20	3	-1	20	20	7	20	20	20	20	20	6	
21	21	21	21	21	28	3	21	21	21	21	21	21	21	21	3	21	21	21	21	21	-1	21	21	21	21	21	21	21	21	
22	22	22	22	22	22	22	22	24	22	22	22	22	22	22	22	22	22	22	22	22	22	-1	22	22	22	22	3	22	22	
23	23	9	23	23	23	24	23	23	23	23	23	23	9	23	23	23	23	23	16	22	23	23	-1	23	23	23	23	23	23	
24	24	24	24	24	24	24	24	24	1	24	24	24	24	24	24	1	24	3	24	24	24	24	24	-1	24	24	24	24	24	
25	25	25	25	25	2	25	25	25	25	25	25	25	25	25	25	25	25	25	24	25	25	25	25	25	-1	25	25	25	25	
26	26	1	26	26	26	24	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	-1	2	26	26	
27	2	27	27	27	27	27	27	27	27	27	27	9	27	27	27	27	2	27	27	27	27	3	27	27	27	1	-1	13	27	
28	28	28	28	28	28	28	24	28	28	28	28	28	28	28	28	28	28	3	28	28	28	28	28	28	28	28	13	-1	2	
29	29	29	29	29	29	29	29	29	29	29	29	9	29	29	29	29	29	29	29	6	29	29	29	29	29	29	29	2	-1	
