8	29	20	10	4	1	24	6	25	18	15	2	3	26	14	16	13	27	17	23	
20	10	24	18	29	25	26	2	0	21	13	12	9	14	5	8	27	28	3	4	
13	25	14	18	28	12	19	9	21	10	1	3	16	20	5	15	24	29	0	4	
16	15	14	17	25	22	6	4	2	13	7	23	19	18	11	28	10	29	0	1	
6	17	15	23	3	0	16	8	22	7	29	25	14	10	20	18	2	1	13	24	
9	21	12	28	18	
4	17	23	15	22	
22	23	17	6	15	
0	29	4	6	20	
12	21	5	13	18	
1	20	18	24	29	
22	7	17	15	16	
9	21	5	13	28	
2	25	14	18	28	
2	13	25	3	16	
3	16	17	22	6	
3	15	14	17	25	
22	15	23	6	7	
10	25	1	20	2	
28	13	2	14	12	
1	10	24	18	29	
9	12	5	18	13	
7	17	23	15	6	
7	22	17	6	4	
1	20	10	26	18	
2	13	18	14	10	
24	27	20	1	10	
26	24	20	1	29	
19	13	2	12	9	
0	20	10	1	8	
