9	6	12	10	28	8	27	16	21	19	4	1	14	18	5	11	13	22	2	3	
13	8	10	11	2	0	16	12	9	6	23	14	15	19	5	20	28	3	4	21	
15	23	20	16	1	3	10	14	25	19	26	24	13	0	4	9	8	21	18	7	
25	14	15	16	19	7	10	24	4	2	29	17	18	21	23	9	0	1	20	6	
18	21	19	14	7	16	10	29	9	3	0	22	25	27	6	28	12	17	15	2	
8	11	12	6	28	
12	28	0	9	8	
29	4	18	19	14	
12	11	6	5	1	
0	6	12	28	10	
16	14	19	4	0	
13	8	5	1	12	
6	0	8	28	9	
11	1	8	5	12	
19	16	10	4	3	
2	3	23	25	20	
10	14	19	4	3	
29	24	25	7	3	
21	4	19	14	7	
14	4	16	10	18	
23	26	2	15	1	
18	4	19	14	9	
21	18	27	4	28	
20	2	15	26	1	
25	17	3	15	29	
3	24	15	17	14	
20	23	2	15	1	
28	6	9	12	0	
27	6	12	9	0	
7	17	4	18	19	
